presentationDate,presentationSessionsN,presentationLanguage,presentationKind,playName,playGenre,playNationality,companyName,companyNationality,presentationTheater
"1926-01-01 00:00:00",1,Português,STAGE_SCREEN,"Comidas, meu santo",Revista,"Brasileira ","Antonio de Souza","Brasileira ","Brás Politeama"
"1926-01-01 00:00:00",3,Português,SESSIONS,"Aventuras de um diplomata","Teatro declamado",Francesa,"Jayme Costa","Brasileira ",Apolo
"1926-01-01 00:00:00",1,Italiano,COMPLETE,"Acqua cheta",Opereta,Italiana,"Lea Candini",Ãtalo-sul-americana,Santana
"1926-01-01 00:00:00",1,Italiano,COMPLETE,Frasquita,Opereta,Austríca,"Lea Candini",Ãtalo-sul-americana,Santana
"1926-01-01 00:00:00",2,Português,COMPLETE,"Sonhos de Theodoro","Teatro declamado",NULL,"Leopoldo FrÃ³es","Brasileira ","Cassino Antártica"
"1926-01-02 00:00:00",1,Italiano,COMPLETE,Boccaccio,Opereta,Austríca,"Lea Candini",Ãtalo-sul-americana,Santana
"1926-01-02 00:00:00",1,Português,COMPLETE,"Sonhos de Theodoro","Teatro declamado",NULL,"Leopoldo FrÃ³es","Brasileira ","Cassino Antártica"
"1926-01-02 00:00:00",2,Português,SESSIONS,"Meu bem, nÃ£o chora!",Revista,"Brasileira ","Abilio de Menezes","Brasileira ",Pathé
"1926-01-02 00:00:00",1,Português,STAGE_SCREEN,"Comidas, meu santo",Revista,"Brasileira ","Antonio de Souza","Brasileira ","Brás Politeama"
"1927-01-01 00:00:00",2,Português,SESSIONS,Fox-trot,Revista,Portuguesa,"Teatro Maria Victoria de Lisboa",Portuguesa,"Cassino Antártica"
"1927-01-01 00:00:00",2,Português,SESSIONS,"Meu bebê, O","Teatro declamado",Estadunidense,"ProcÃ³pio Ferreira","Brasileira ",Apolo
"1927-01-01 00:00:00",2,Português,SESSIONS,"Cala a boca, Etelvina!","Teatro declamado","Brasileira ","Jayme Costa","Brasileira ","Boa Vista"
"1927-01-02 00:00:00",3,Português,SESSIONS,"Seu Liborio continua...","Teatro declamado",NULL,"Jayme Costa","Brasileira ","Boa Vista"
"1927-01-02 00:00:00",3,Português,SESSIONS,"O 31",Revista,Portuguesa,"Teatro Maria Victoria de Lisboa",Portuguesa,"Cassino Antártica"
"1927-01-02 00:00:00",3,Português,SESSIONS,"Meu bebê, O","Teatro declamado",Estadunidense,"ProcÃ³pio Ferreira","Brasileira ",Apolo
"1927-01-03 00:00:00",2,Português,SESSIONS,"Seu Liborio continua...","Teatro declamado",NULL,"Jayme Costa","Brasileira ","Boa Vista"
"1927-01-03 00:00:00",2,Português,SESSIONS,"O 31",Revista,Portuguesa,"Teatro Maria Victoria de Lisboa",Portuguesa,"Cassino Antártica"
"1927-01-03 00:00:00",2,Português,SESSIONS,"Meu bebê, O","Teatro declamado",Estadunidense,"ProcÃ³pio Ferreira","Brasileira ",Apolo
"1927-01-04 00:00:00",2,Português,SESSIONS,"Meu amor","Teatro declamado","Brasileira ","Jayme Costa","Brasileira ","Boa Vista"
"1928-01-01 00:00:00",1,Italiano,COMPLETE,"Acqua cheta",Opereta,Italiana,"Clara Weiss",Ãtalo-sul-americana,"Cassino Antártica"
"1928-01-01 00:00:00",1,Italiano,COMPLETE,Frasquita,Opereta,Austríca,"Clara Weiss",Ãtalo-sul-americana,"Cassino Antártica"
"1928-01-01 00:00:00",3,Português,SESSIONS,"Pétalas ao vento",Revista,"Brasileira ",Ra-ta-plan,"Brasileira ",Apolo
"1928-01-02 00:00:00",1,Italiano,COMPLETE,Boccaccio,Opereta,Austríca,"Clara Weiss",Ãtalo-sul-americana,"Cassino Antártica"
"1928-01-02 00:00:00",2,Português,SESSIONS,"Pétalas ao vento",Revista,"Brasileira ",Ra-ta-plan,"Brasileira ",Apolo
"1928-01-03 00:00:00",2,Português,SESSIONS,"Pétalas ao vento",Revista,"Brasileira ",Ra-ta-plan,"Brasileira ",Apolo
"1928-01-03 00:00:00",1,Italiano,COMPLETE,"Acqua cheta",Opereta,Italiana,"Clara Weiss",Ãtalo-sul-americana,"Olympia "
"1928-01-04 00:00:00",2,Português,SESSIONS,"Sol de Portugal",Revista,Portuguesa,"Antonio de Macedo",Portuguesa,"Cassino Antártica"
"1928-01-04 00:00:00",1,Italiano,COMPLETE,"Acqua cheta",Opereta,Italiana,"Clara Weiss",Ãtalo-sul-americana,"Olympia "
"1928-01-04 00:00:00",2,Português,SESSIONS,"Pétalas ao vento",Revista,"Brasileira ",Ra-ta-plan,"Brasileira ",Apolo
"1929-01-01 00:00:00",3,Português,SESSIONS,"Professor castidade","Teatro declamado",NULL,"Jayme Costa","Brasileira ","Boa Vista"
